person_id,departure_date,departure_from,arrival_at
100266,20250412,Vitoria Airport (VIT),Atlin Airport (YSQ)
100267,20250411,Logroño–Agoncillo Airport (RJL),Dease Lake Airport (YDL)
100268,20250410,Santander Airport (SDR),Telegraph Creek Airport (YTX)
100269,20250409,Asturias Airport (OVD),Stewart Airport (ZST)
100270,20250408,A Coruña Airport (LCG),Bob Quinn Lake Airport (YBO)
100271,20250407,Santiago de Compostela Airport (SCQ),Smithers Airport (YYD)
100272,20250406,Vigo–Peinador Airport (VGO),Terrace Northwest Regional Airport (YXT)
100273,20250405,León Airport (LEN),Prince Rupert Airport (YPR)
100274,20250404,Burgos Airport (RGS),Sandspit Airport (YZP)
100275,20250403,Valladolid Airport (VLL),Masset Airport (ZMT)
100276,20250402,Salamanca Airport (SLM),Port Hardy Airport (YZT)
100277,20250401,Badajoz Airport (BJZ),Campbell River Airport (YBL)
100278,20250331,Cáceres Airport (CXR),Comox Valley Airport (YQQ)
100279,20250330,Huesca–Pirineos Airport (HSK),Powell River Airport (YPW)
100280,20250329,Teruel Airport (TEV),Tofino/Long Beach Airport (YAZ)
100281,20250328,Castellón–Costa Azahar Airport (CDT),Nanaimo Airport (YCD)
100282,20250327,Albacete Airport (ABC),Pitt Meadows Airport (YPK)
100283,20250326,Ciudad Real Central Airport (CQM),Abbotsford International Airport (YXX)
100284,20250325,Adolfo Suárez Madrid–Barajas Airport (MAD),Langley Regional Airport (YLY)
100285,20250324,Lisbon Airport (LIS),Boundary Bay Airport (YDT)
100286,20250323,Porto Airport (OPO),Vancouver Harbour Flight Centre (CXH)
100287,20250322,Faro Airport (FAO),Victoria Inner Harbour Airport (YWH)
100288,20250321,Madeira Airport (FNC),Nanaimo Harbour Water Airport (ZNA)
100289,20250320,Ponta Delgada Airport (PDL),Sechelt/Porpoise Bay Airport (YHS)
100290,20250319,Lajes Field (TER),Tofino Harbour Water Airport (YTP)
100291,20250318,Horta Airport (HOR),Bedwell Harbour Water Airport (YBW)
100292,20250317,Santa Maria Airport (SMA),Ganges Water Aerodrome (YGG)
100293,20250316,Flores Airport (FLW),Montague Harbour Water Aerodrome (YMF)
100294,20250315,Corvo Airport (CVU),Port Alberni Water Aerodrome (YPB)
100295,20250314,Pico Airport (PIX),Ucluelet Water Aerodrome (YBF)
100296,20250313,São Jorge Airport (SJZ),Qualicum Beach Airport (XQU)
100297,20250312,Graciosa Airport (GRW),Courtenay Airpark (YCA)
100298,20250311,Porto Santo Airport (PXO),Texada/Gillies Bay Airport (YGB)
100299,20250310,Bragança Airport (BGC),Lillooet Airport (YLI)
100300,20250309,Vila Real Airport (VRL),Pemberton Airport (YPS)
